title,price,publisher,author,discount,url,source,page
KR Akademi Yayınları 2024 Barış Hoca TYT Dr. Biyoloji Soru Bankası,259.0,KR Akademi Yayınları,Barış Kapan,0,https://www.bkmkitap.com/kr-akademi-yayinlari-2024-baris-hoca-tyt-dr-biyoloji-soru-bankasi,bkmkitap.com,4
Aydın Yayınları TYT Kimya Konu Özetli Soru Bankası,266.6,Aydın Yayınları,Ali Dinçsönmez,38,https://www.bkmkitap.com/tyt-kimya-konu-ozetli-soru-bankasi-tamami-video-cozumlu-aydin-yayinlari,bkmkitap.com,4
Acil Yayınları YKS TYT Matematiğin İlacı 12 Deneme,186.15,Acil Yayınları,Yusuf Dinç,15,https://www.bkmkitap.com/tyt-matematigin-ilaci-denemeleri-acil-yayinlari,bkmkitap.com,4
Benim Hocam Yayınları 2024 TYT Türkçe Ders Notları Konu Sonu Testleri İlaveli,183.4,Benim Hocam Yayınları,Kadir Gümüş,30,https://www.bkmkitap.com/2024-tyt-turkce-video-destekli-konu-anlatimi-benim-hocam-yayinlari,bkmkitap.com,4
Aktif Öğrenme Yayınları TYT AYT Geometri 0`dan Başlayanlara,279.65,Aktif Öğrenme Yayınları,Satu Nur Demir,15,https://www.bkmkitap.com/tyt-ayt-geometri-0-dan-baslayanlara-aktif-ogrenme-yayinlari-438146,bkmkitap.com,4
Bilgi Sarmal Yayınları TYT Kontrol 7`li Deneme,276.25,Bilgi Sarmal Yayınları,Kolektif,15,https://www.bkmkitap.com/tyt-kontrol-7li-deneme,bkmkitap.com,4
Üç Dört Beş Yayınları 2025 TYT Kimya Soru Bankası,256.0,Üç Dört Beş Yayınları,Bülent Demir,36,https://www.bkmkitap.com/tyt-kimya-soru-bankasi-uc-dort-bes-yayinlari,bkmkitap.com,4
Benim Hocam Yayınları 2024 TYT Türkçe Tamamı Çözümlü Soru Bankası Konu Tekrar Posteri Hediyeli,262.5,Benim Hocam Yayınları,Kadir Gümüş,30,https://www.bkmkitap.com/2023-tyt-turkce-tamami-video-cozumlu-soru-bankasi-poster-hediyeli,bkmkitap.com,4
3D Yayınları 2023 TYT Matematik Soru Bankası,294.0,3D Yayınları,Özgür Balcı,30,https://www.bkmkitap.com/2024-tyt-matematik-soru-bankasi,bkmkitap.com,4
Limit Yayınları 2023 Kronometre Paragraf Soru Bankası,266.6,Limit Yayınları,Kolektif,38,https://www.bkmkitap.com/kronometre-paragraf-soru-bankasi-limit-yayinlari,bkmkitap.com,4
Üç Dört Beş Yayınları 2025 TYT Biyoloji Soru Bankası,245.76,Üç Dört Beş Yayınları,Erdinç Çakıroğlu,36,https://www.bkmkitap.com/tyt-biyoloji-soru-bankasi-uc-dort-bes-yayinlari,bkmkitap.com,4
Antrenmanlarla Matematik 2,297.0,Antrenmanlarla Matematik Yayıncılık,Ahmet Karakoç,40,https://www.bkmkitap.com/antrenmanlarla-matematik-2,bkmkitap.com,5
